"label","alias"
蒙族舞,蒙古舞
手指舞,手语舞
变队形,变队舞
藏族舞,藏舞
云贵川,苗族舞
云贵川,火把舞
云贵川,彝族舞
云贵川,壮族
爵士舞,jazz
爵士舞,爵士
街舞,hippop
旗袍,旗袍走秀
旗袍,走秀旗袍
旗袍,旗袍秀
鬼步舞,拽步舞
鬼步舞,曳步舞
鬼步舞,鬼步
拉丁舞,拉丁
16步,十六步
32步,三十二步
三步踩,3步踩
交谊舞,交际舞
水袖舞,水袖
健身操,健身舞
双人舞,两人舞
双人对跳,两人对跳
双人对跳,2人对跳
中三舞,中三
