"label","alias"
教学,正面教学
教学,分解
教学,正面
教学,背面
教学,演示版
教学,教学版
教学,示范
教学,附教学
教学,正反面演示
教学,演示
教学,正反面
教学,口令
教学,附背面演示
教学,正反
教学,正反面教学
教学,正面教学
教学,背面教学
教学,教程
教学,正面演示
比赛,大赛
